matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3630785115,137272985,7,1,19,0,667,8692,0,94,5,301,21,0,3,0.18050541516245489,0,4058,1,695,Freeze,1662,False,1,18475,19251,6,145,1,0,163,5,0,1,0,0,31,0,0,False,0,0,5,1732,1854,11,0.44,0.6177357731751458,360
3630693484,137272985,7,0,17,1,589,23060,0,9,13,239,22,0,6,0.37160552644116246,0,2746,1,626,Freeze,2099,False,1,20605,21899,20,70,1,0,172,13,3,0,2,0,20,0,0,False,0,0,6,2764,3247,11,0.7692308,0.8459682284335411,345
3630553740,137272985,3,5,9,1,540,29736,125,34,6,315,20,0,8,0.1505016722408027,1,69,0,426,Freeze,2392,True,0,21528,16983,1,115,0,0,202,6,0,0,0,0,19,0,1,False,0,0,3,2085,2537,8,0.64285713,0.7027950935049266,251
3629954267,137272985,15,5,5,0,637,49780,0,17,18,404,25,0,24,0.3774903879762321,0,3305,2,663,Freeze,2861,False,1,30374,31614,5,88,2,0,291,18,1,3,0,0,9,0,0,False,0,0,12,2831,2244,3,0.73333335,0.668811582545747,329
3629847571,137272985,10,2,15,0,548,20697,0,43,11,236,23,0,4,0.28205128205128205,0,7163,2,588,Freeze,2340,False,1,21372,22932,7,38,2,0,200,11,1,0,1,0,3,0,0,False,0,0,8,2945,2679,8,0.8076923,0.7595013070581138,308
3629706160,137272985,11,3,15,0,481,25585,0,15,7,311,25,1,7,0.1479394152870729,0,2072,0,572,Freeze,2839,True,0,22759,27065,4,49,0,0,268,7,0,1,0,0,6,1,0,False,0,0,8,3102,2574,7,0.72,0.722903679871305,307
3628436489,137272985,7,6,9,0,510,14270,74,19,7,164,19,0,6,0.24124066628374496,0,1784,0,542,Freeze,1741,False,1,14798,15727,2,21,0,0,144,7,0,0,0,0,1,0,0,False,0,0,8,2803,2595,7,0.5833333,0.7192841343253569,338
3628335903,137272985,4,1,21,1,637,4840,0,94,5,148,14,0,4,0.3246753246753247,0,1451,2,654,Freeze,924,True,1,9809,10071,4,74,2,0,91,5,0,0,0,0,21,0,0,False,0,0,2,2710,3526,18,0.5,1.0703800522823246,366
3626210150,137272985,5,4,6,0,667,36511,0,25,9,550,25,0,17,0.16574585635359115,0,3040,3,700,Freeze,3258,True,0,36218,38010,2,167,3,0,368,9,0,0,0,0,29,0,0,False,0,0,6,2381,2148,4,0.56,0.6090890810376031,326
3626107606,137272985,1,6,6,0,428,25963,80,34,0,301,17,0,8,0,1,27,0,335,Freeze,2454,False,0,17505,13701,0,81,0,0,220,0,0,0,0,0,0,0,1,False,0,1,2,2837,1980,6,0.16666667,0.6887190830484617,242
3626019428,137272985,8,2,15,0,621,15824,0,94,3,279,22,0,7,0.10186757215619695,0,4255,2,701,Freeze,1767,False,1,18288,20644,3,137,2,0,142,3,0,0,0,0,42,0,0,False,0,0,6,1982,1804,10,0.47826087,0.6050673637643273,328
3557403876,137272985,4,2,14,0,571,17183,0,39,9,303,22,0,9,0.24456521739130435,0,3286,3,570,Freeze,2208,False,0,21012,20976,4,75,3,0,226,9,0,0,0,0,3,0,0,False,0,0,11,2520,2419,12,0.8666667,0.7820229237884577,343
3557297351,137272985,8,7,11,0,424,16468,0,13,5,181,20,0,4,0.13856812933025403,1,206,0,494,Freeze,2165,True,0,15299,17825,1,2,0,0,180,5,1,0,0,0,0,0,1,False,0,0,10,2233,2116,6,0.68421054,0.6587572893625578,349
3555540792,137272985,23,3,13,0,538,31806,0,43,5,430,25,0,14,0.08077544426494346,0,4437,4,588,Freeze,3714,True,1,33302,36397,7,110,4,0,311,5,0,0,0,2,10,0,0,False,0,0,6,2613,2280,11,0.62222224,0.7572893625578122,352
3555445792,137272985,10,2,12,0,534,14884,0,39,8,134,19,0,15,0.28352037802717067,0,4021,2,550,Freeze,1693,True,1,15067,15519,6,33,2,0,102,8,1,1,1,0,0,0,0,False,0,0,6,1798,2113,8,0.75,0.6569475165895837,341
3555318503,137272985,5,5,28,1,605,26423,0,39,11,293,23,0,9,0.2853437094682231,0,4482,5,629,Freeze,2313,False,0,23322,24247,2,62,5,0,240,11,0,1,0,0,9,0,0,False,0,0,9,2629,2632,21,0.64,0.7645284536497085,312
3553750619,137272985,5,7,10,0,431,15819,0,25,5,200,19,0,7,0.15120967741935484,0,183,0,481,Freeze,1984,False,0,14251,15905,1,72,0,0,131,5,0,0,0,0,3,0,0,False,0,0,8,2127,1807,7,0.5263158,0.582143575306656,315
3550012598,137272985,5,6,8,0,468,15402,406,4,3,258,21,0,6,0.07258064516129033,0,385,1,449,Freeze,2480,False,0,19344,18558,1,90,1,0,166,3,0,0,0,0,12,0,0,False,0,0,6,1875,2222,6,0.44444445,0.6798713050472551,273
3549895657,137272985,16,8,6,0,486,27447,0,43,7,210,23,0,8,0.16496465043205027,0,3126,2,541,Freeze,2546,True,1,20622,22956,2,40,2,0,164,7,0,0,0,0,2,0,0,False,0,0,5,2801,2393,4,0.71875,0.6756485019103157,322
3549800030,137272985,9,3,14,0,507,27149,0,39,9,269,23,0,12,0.22304832713754646,1,552,0,599,Freeze,2421,False,0,20457,24169,4,61,0,0,203,9,0,0,0,5,3,0,1,False,0,0,9,2649,2340,8,0.65384614,0.7749849185602252,352
3548362140,137272985,5,3,10,0,418,5094,0,8,4,120,14,0,4,0.18779342723004694,0,1343,1,453,Freeze,1278,True,0,8903,9648,2,30,1,0,96,4,0,0,0,0,0,0,0,False,0,0,7,2152,2167,4,0.75,0.6643876935451438,379
3548237028,137272985,3,5,4,0,482,15209,0,98,4,314,23,0,6,0.09884678747940692,0,0,0,564,Freeze,2428,False,0,19504,22823,1,73,0,0,235,4,1,0,0,0,0,0,0,False,0,0,5,3178,2779,3,0.5,0.8184194651116027,353
3537521939,137272985,3,5,15,0,531,9398,0,95,5,219,21,0,6,0.16,0,3833,5,606,Freeze,1875,False,0,16593,18937,1,66,5,0,154,4,1,0,1,0,17,0,0,False,0,0,8,2720,2106,8,0.5,0.7223004222803137,335
3537416291,137272985,20,6,5,0,539,14046,0,106,3,288,24,0,15,0.0817067635043123,0,903,1,697,Freeze,2203,False,1,19790,25591,3,87,1,0,201,3,0,0,0,0,0,0,0,False,0,0,5,1976,1966,4,0.6216216,0.6533279710436356,343
3535504826,137272985,16,9,9,0,439,13360,3780,36,9,156,21,0,6,0.24269662921348317,0,1982,0,514,Freeze,2225,False,1,16279,19060,2,37,0,0,121,9,0,0,0,0,3,0,0,False,0,0,8,2255,2131,4,0.6097561,0.663181178363161,297
3535367604,137272985,11,1,12,0,561,20031,0,39,15,176,21,0,20,0.5025125628140703,0,1938,0,654,Freeze,1791,False,1,16745,19521,13,26,0,0,158,15,0,0,0,0,2,0,0,False,0,0,7,2913,2089,11,0.7647059,0.7001809772772974,360
3515227412,137272985,3,9,9,0,331,11565,1236,36,2,107,14,0,4,0.09104704097116845,0,147,0,410,Freeze,1318,False,0,7270,9006,0,10,0,0,104,2,1,0,0,0,0,0,0,False,0,0,8,2897,2251,6,0.5,0.6344258998592399,353
3515093661,137272985,7,6,16,0,417,18732,1937,4,6,314,21,0,3,0.1254792610665737,0,155,0,398,Freeze,2869,True,0,19939,19031,1,59,0,0,258,6,0,0,0,0,7,0,0,False,0,0,10,2321,1939,8,0.61904764,0.59883370199075,354
3514434560,137272985,13,4,9,0,487,26110,3647,36,12,299,25,0,4,0.24973985431841833,1,2451,4,572,Freeze,2883,False,1,23400,27484,5,39,4,0,251,12,0,5,0,0,6,0,1,False,0,0,9,3041,2159,7,0.7352941,0.6804745626382466,350
3514295555,137272985,19,3,15,1,555,25427,0,43,12,336,25,0,10,0.24373730534867977,0,5154,1,649,Freeze,2954,False,1,27324,31952,7,25,1,0,314,12,1,0,2,0,1,0,0,False,0,0,11,2905,2651,13,0.7209302,0.7317514578725116,349
3514197106,137272985,9,7,9,0,356,15219,0,106,8,122,18,0,16,0.24072216649949849,0,112,0,434,Freeze,1994,False,0,11831,14423,2,23,0,0,104,8,0,0,0,0,0,0,0,False,0,0,9,2484,2270,9,0.73913044,0.6820832495475568,365
3512155023,137272985,13,6,22,0,566,41558,3326,4,17,683,25,0,17,0.206645056726094,0,3450,2,693,Freeze,4936,True,0,46562,57010,4,220,2,0,458,17,0,0,3,0,43,0,0,False,0,0,10,2548,2346,13,0.73170733,0.7241101950532878,337
3512070513,137272985,17,2,35,0,433,14319,2779,4,5,172,18,0,4,0.16393442622950818,0,1060,0,482,Freeze,1830,True,1,13206,14701,7,28,0,0,170,5,0,0,1,0,3,0,0,False,0,0,8,3411,2829,26,0.7777778,0.8053488839734567,365
3511978899,137272985,4,4,12,0,383,9850,1151,36,2,181,18,0,2,0.06292606187729419,0,941,1,451,Freeze,1907,True,0,12173,14334,1,20,1,0,166,2,0,0,0,0,0,0,0,False,0,0,6,2410,1815,8,0.46153846,0.5624371606676051,334
3503247650,137272985,10,5,11,0,508,27257,0,76,7,287,23,0,12,0.16581129095933675,0,797,1,567,Freeze,2533,False,0,21446,23936,2,118,1,0,166,7,0,0,0,0,3,0,0,False,0,0,3,2688,2037,9,0.6296296,0.5978282726724311,342
3503143760,137272985,5,4,6,0,392,8508,0,17,0,175,17,0,6,0,0,781,0,460,Freeze,1713,False,0,11191,13133,1,54,0,0,122,0,0,1,0,0,0,0,0,False,0,0,8,2643,1826,6,0.45454547,0.6269857229036798,345
3501249882,137272985,8,4,24,0,673,17821,0,95,11,253,22,1,6,0.3363914373088685,0,3985,3,656,Freeze,1962,True,1,22007,21451,3,93,3,0,173,11,0,0,1,0,27,1,0,False,0,0,4,3337,2484,20,0.8636364,0.813392318520008,357
