matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3555540792,107803494,16,4,11,0,630,88613,0,34,7,644,25,0,7,0.11308562197092084,0,0,0,479,Ori,3714,True,0,38997,29650,4,139,0,0,496,7,0,0,1,0,8,0,0,False,0,0,3,2766,1957,10,0.71875,0.5616328172129499,318
3555445792,107803494,8,2,12,0,406,13016,0,9,5,168,16,0,3,0.1772002362669817,0,2380,2,425,Ori,1693,True,0,11455,11992,4,26,2,0,135,5,0,0,0,0,0,0,0,False,0,0,9,2826,2247,9,0.61904764,0.6263824653126885,439
3555318503,107803494,10,3,4,0,700,28542,0,49,10,300,25,0,16,0.2594033722438392,0,5096,4,742,Ori,2313,False,1,26985,28604,5,69,4,0,200,10,3,1,1,4,8,0,0,False,0,0,8,2611,2171,3,0.5555556,0.692137542730746,415
3555196872,107803494,5,6,6,0,372,12111,0,104,4,190,18,1,11,0.10894235133908307,0,143,0,411,Ori,2203,True,0,13658,15090,1,41,0,0,149,4,1,1,0,0,2,1,0,False,0,0,9,2935,2630,5,0.6,0.7196863060526845,386
3555094492,107803494,6,4,12,0,555,12332,0,43,6,271,23,0,9,0.15228426395939085,0,7208,3,567,Ori,2364,False,1,21867,22339,2,43,3,0,218,6,0,0,0,1,0,0,0,False,0,0,12,2969,2539,8,0.375,0.7699577719686306,394
3555001197,107803494,5,5,13,0,364,15737,0,13,1,175,17,0,12,0.03007518796992481,0,424,0,412,Ori,1995,True,0,12103,13699,1,7,0,0,177,1,0,0,0,0,2,0,0,False,0,0,11,2927,2233,11,0.54545456,0.6169314297204906,404
3553474678,107803494,4,1,14,0,690,17957,0,46,12,231,21,0,8,0.4225352112676056,0,5093,1,701,Ori,1704,False,1,19596,19908,8,83,1,0,153,12,0,0,1,0,33,0,0,False,0,0,2,3294,2610,12,0.61538464,0.9543535089483209,450
3553362864,107803494,17,5,4,1,528,24265,0,13,11,238,25,0,16,0.24849397590361447,0,2096,2,691,Ori,2656,False,1,23372,30588,4,46,2,0,175,11,3,0,0,0,0,0,0,False,0,0,8,2473,2376,4,0.7567568,0.6702191835913935,424
3548643001,107803494,11,5,12,0,572,15378,0,13,6,229,25,0,16,0.15625,0,1298,0,704,Ori,2304,False,1,21964,27033,2,33,0,0,203,6,0,1,0,0,2,0,0,False,0,0,12,1079,1268,4,0.36956522,0.36517192841343254,379
3548515278,107803494,11,4,10,0,599,24679,0,76,13,263,25,0,9,0.3471295060080107,0,1846,1,752,Ori,2247,False,1,22432,28162,4,85,1,0,174,13,1,0,0,0,0,0,0,False,0,0,7,2074,2369,8,0.6666667,0.7826261813794491,370
3548220535,107803494,8,4,27,0,676,25531,0,46,14,267,22,0,4,0.42922841083290747,0,4889,3,623,Ori,1957,False,1,22048,20320,4,90,3,0,195,14,0,1,0,0,35,0,0,False,0,0,6,2800,2722,20,0.7586207,0.853609491252765,348
3545411013,107803494,4,1,8,0,331,11431,0,13,3,89,13,0,5,0.13392857142857142,0,477,0,374,Ori,1344,True,0,7414,8377,3,9,0,0,86,3,0,0,0,0,0,0,0,False,0,0,6,2430,2129,4,0.7,0.6356324150412226,425
3545330410,107803494,2,5,4,0,477,9980,0,17,4,188,19,0,10,0.14990630855715176,0,50,1,589,Ori,1601,False,0,12727,15716,1,67,1,0,122,4,0,0,0,0,0,0,0,False,0,0,9,2160,1955,1,0.42857143,0.663181178363161,403
3545253155,107803494,6,6,13,0,363,8951,0,43,3,93,12,1,5,0.140625,0,634,1,337,Ori,1280,False,0,7744,7189,1,16,1,0,88,3,0,0,0,0,0,1,0,False,0,0,6,2591,2417,12,0.6923077,0.7617132515584154,398
3545125310,107803494,31,3,18,0,654,30933,0,13,8,343,25,1,9,0.16387845681119836,0,1396,0,715,Ori,2929,False,1,31926,34903,9,22,0,0,283,8,3,0,0,0,0,1,0,False,0,0,7,2865,2488,16,0.7358491,0.7562839332394933,423
3544999229,107803494,12,3,7,0,507,25366,0,43,12,207,21,0,7,0.29850746268656714,0,6176,4,500,Ori,2412,False,1,20381,20100,6,65,4,0,140,12,0,0,1,0,3,0,0,False,0,0,4,1794,1470,5,0.75,0.5938065553991554,465
3544710395,107803494,21,5,29,0,673,71195,0,43,25,457,25,0,10,0.4108463434675431,0,3894,3,706,Ori,3651,False,1,40952,42960,7,38,3,0,408,31,1,2,0,0,2,0,0,False,0,0,11,2505,2274,22,0.88461536,0.662376834908506,415
3544548127,107803494,2,8,32,0,480,14761,0,76,6,290,22,0,6,0.14029618082618864,0,445,1,517,Ori,2566,True,0,20528,22110,0,125,1,0,184,6,0,0,0,0,4,0,0,False,0,0,9,2919,2068,22,0.4,0.614719485220189,384
3544380687,107803494,13,4,9,1,531,51328,4969,36,15,256,25,1,13,0.3157894736842105,0,353,0,651,Ori,2850,False,1,25222,30922,5,72,0,0,184,15,0,0,0,0,1,1,0,False,0,0,10,2976,2976,8,0.9655172,0.8053488839734567,452
3543084625,107803494,8,6,31,0,426,16618,0,47,7,186,19,1,1,0.21549512570549,0,48,0,478,Ori,1949,True,0,13837,15527,2,13,0,0,188,7,0,2,0,0,3,1,0,False,0,0,6,3034,2240,20,0.75,0.718278705007038,464
3542962816,107803494,13,4,10,0,486,18959,0,49,4,287,22,0,2,0.09202453987730061,0,1936,1,504,Ori,2608,True,0,21124,21907,3,32,1,0,252,4,0,0,0,0,11,0,0,False,0,0,10,2490,2106,4,0.56666666,0.6308063543132918,440
3540802315,107803494,19,2,13,0,512,21984,0,13,1,222,24,0,16,0.026189436927106065,0,1702,0,671,Ori,2291,False,1,19549,25621,6,13,0,0,215,1,2,2,0,0,0,0,0,False,0,0,8,2590,1675,11,0.5555556,0.5602252161673035,454
3540681433,107803494,22,6,14,1,559,53762,0,13,19,399,25,0,14,0.2906680265170831,0,1480,1,644,Ori,3922,False,1,36539,42096,5,44,1,0,352,19,5,2,0,0,1,0,0,False,0,0,10,3127,3071,14,0.82,0.7794088075608284,415
3539980173,107803494,12,6,18,0,686,29797,0,76,19,523,25,0,10,0.3541472506989748,0,2331,0,658,Ori,3219,True,1,36803,35301,4,118,0,0,398,19,3,3,0,0,0,0,0,False,0,0,10,1771,1992,13,0.775,0.5726925397144581,381
