matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3805545412,106573901,13,2,25,1,597,17724,0,45,10,167,19,0,6,0.34110289937464466,0,9467,4,553,No[o]ne-,1759,True,1,17502,16212,7,5,4,0,167,10,1,0,0,0,0,0,0,False,0,0,7,3226,2764,23,0.7586207,0.8517997184797909,398
3805388478,106573901,6,2,20,0,651,28595,0,35,17,239,21,0,8,0.5477980665950591,0,3881,4,602,No[o]ne-,1862,True,1,20202,18682,7,62,4,0,187,17,1,0,0,0,2,0,0,False,0,0,8,3294,2568,11,0.6388889,0.7681479991956566,364
3775933971,106573901,12,4,18,0,451,18219,0,19,5,163,18,0,14,0.1576458223857068,0,1023,1,484,No[o]ne-,1903,True,1,14304,15350,3,48,1,0,127,5,1,0,0,0,6,0,0,False,0,0,8,2631,2660,17,0.4722222,0.9085059320329781,423
3775825168,106573901,13,0,29,0,520,12324,0,43,6,188,19,0,7,0.2057142857142857,0,3097,1,561,No[o]ne-,1750,True,1,15166,16362,19,36,1,0,171,5,0,0,1,0,0,0,0,False,0,0,5,3245,2699,20,0.7307692,0.8564246933440579,430
3775730294,106573901,9,0,12,0,654,29502,0,72,11,201,19,0,7,0.4076590487955528,0,5435,2,617,No[o]ne-,1619,True,1,17647,16648,20,68,2,0,129,11,0,1,1,0,11,0,0,False,0,0,4,2625,2292,5,0.6666667,0.8948320933038407,499
3774178327,106573901,20,1,27,0,569,25117,0,43,11,260,24,0,8,0.3081232492997199,0,2500,1,750,No[o]ne-,2142,False,1,20313,26775,15,44,1,0,214,11,0,0,0,0,7,0,0,False,0,0,5,3025,2477,18,0.7948718,0.82465312688518,461
3774083100,106573901,3,3,28,1,469,13203,147,39,6,158,16,0,8,0.24965325936199723,0,770,0,506,No[o]ne-,1442,True,0,11271,12160,2,33,0,0,139,6,0,0,0,0,0,0,0,False,0,0,7,2863,2632,17,0.4090909,0.8660768147999196,413
3773950827,106573901,6,0,23,0,556,21871,0,19,11,227,23,0,7,0.2912621359223301,0,2792,4,627,No[o]ne-,2266,True,1,20998,23679,17,45,4,0,172,11,0,0,0,4,15,0,0,False,0,0,8,3089,2514,16,0.68,0.764930625377036,462
3773545008,106573901,11,3,16,0,580,20222,0,72,10,165,17,0,5,0.3804692454026633,0,3239,4,527,No[o]ne-,1577,True,1,15244,13851,5,32,4,0,142,10,0,0,0,0,0,0,0,False,0,0,7,2401,2221,13,0.625,0.7239091091896239,448
3773436674,106573901,19,1,10,0,640,33248,0,72,12,316,25,0,11,0.2922077922077922,0,5765,0,660,No[o]ne-,2464,True,1,26282,27104,15,111,0,0,206,12,1,0,1,0,21,0,0,False,0,0,7,3041,2345,9,0.93939394,0.7470339835109592,439
